KD,#1 Ally,Top 300 Power,Top 300 Merits,M/P,Top 300 Kills,Top 300 Deads,Top 300 Heals,CH25,CH25 AP,10M,20M,30M,40M,50M,80M+,100M+,125M+,150M+,200M+,250M+,300M+
333,HOK,"2,754,431,174","99,180,138",3.60%,"5,817,301,574","30,698,176","4,900,811,555",62,"42,789,890",3,2,1,1,0,8,7,5,2,1,0,0
334,FoH,"5,805,905,532","376,109,124",6.48%,"8,941,724,664","79,341,230","13,448,474,567",85,"62,107,357",10,3,2,0,0,19,10,2,0,0,0,0
335,V~V!,"4,739,212,189","277,871,025",5.86%,"10,447,635,716","73,425,467","10,431,338,986",71,"63,392,571",8,4,1,0,0,19,9,6,5,1,0,0
336,DoU,"5,917,390,719","384,181,023",6.49%,"8,347,281,390","75,951,834","12,762,877,049",82,"62,888,413",9,5,1,1,0,19,9,7,1,0,0,0
337,PU70,"16,842,758,738","2,261,620,223",13.43%,"50,072,657,185","298,402,715","54,741,681,942",197,"87,008,455",92,27,16,5,1,113,73,27,13,6,3,0
339,UHA,"2,703,573,578","309,227,392",11.44%,"6,858,776,702","38,985,247","7,080,069,042",41,"64,883,959",10,6,4,2,0,16,7,1,0,0,0,0
340,,"1,245,794,755","14,410,500",1.16%,"391,882,748","11,488,591","1,088,441,406",23,"40,682,479",1,0,0,0,0,1,1,0,0,0,0,0
341,NW:E,"16,766,133,168","3,215,956,879",19.18%,"63,588,033,125","350,437,859","60,584,431,569",174,"96,864,107",118,58,23,13,12,128,79,28,10,2,0,0
342,DoS',"8,697,249,202","571,398,573",6.57%,"17,200,093,474","118,515,431","22,025,583,812",127,"63,711,971",19,3,2,0,0,37,8,0,0,0,0,0
343,BDss,"5,657,962,346","421,703,503",7.45%,"6,761,750,042","84,156,797","12,828,346,088",100,"54,103,797",13,5,1,0,0,11,3,0,0,0,0,0
344,7Sin,"8,119,563,021","615,664,247",7.58%,"22,123,946,327","97,267,454","24,912,968,105",95,"84,676,359",24,9,3,1,0,58,44,15,4,0,0,0
345,345M,"21,563,222,619","3,162,292,213",14.67%,"91,646,646,228","451,934,692","84,055,260,714",234,"94,245,900",155,55,11,6,4,174,137,53,19,6,1,0
346,AVO,"5,096,422,357","536,063,979",10.52%,"11,179,020,584","56,179,116","12,145,114,433",70,"66,681,514",15,10,5,3,2,18,12,2,1,0,0,0
347,EvS,"3,931,388,765","95,911,307",2.44%,"1,796,573,874","30,077,867","4,600,083,252",77,"43,872,525",0,0,0,0,0,3,0,0,0,0,0,0
348,-iM-,"6,210,753,376","537,466,070",8.65%,"7,392,594,530","128,295,237","14,077,290,463",111,"53,794,926",16,4,1,1,1,15,5,1,0,0,0,0
349,,"1,659,646,378","4,492,217",0.27%,"1,508,718,700","17,221,059","2,438,356,576",36,"38,480,486",0,0,0,0,0,1,1,0,0,0,0,0
350,,"924,868,776",,0.00%,"376,558,153","9,383,874","800,246,850",17,"45,198,174",0,0,0,0,0,1,1,1,0,0,0,0
351,V351,"1,400,686,032","39,735,799",2.84%,"1,088,532,598","8,205,395","2,014,401,436",23,"48,622,204",1,0,0,0,0,3,0,0,0,0,0,0
352,i352,"4,859,083,687","120,305,379",2.48%,"5,098,148,889","58,957,369","8,451,857,142",84,"52,357,171",2,1,0,0,0,9,1,0,0,0,0,0
353,C&D,"4,553,332,787","201,930,730",4.43%,"7,423,453,582","48,758,685","10,214,803,679",80,"51,686,612",6,2,0,0,0,10,2,0,0,0,0,0
354,SyN,"10,439,465,997","1,211,047,597",11.60%,"28,229,771,116","142,667,749","31,815,164,361",118,"88,070,519",61,14,2,0,0,79,56,13,2,0,0,0
355,VN-D,"2,432,006,866","72,837,860",2.99%,"2,722,053,534","23,220,710","4,401,631,257",47,"46,157,298",2,1,0,0,0,5,2,1,0,0,0,0
356,V~BF,"2,628,913,778","44,762,864",1.70%,"4,747,145,363","42,661,584","7,437,687,418",48,"53,616,808",1,0,0,0,0,5,1,0,0,0,0,0
357,YSS,"30,140,073,145","7,769,351,896",25.78%,"167,397,962,147","754,730,728","109,685,689,562",308,"101,477,011",190,168,105,62,33,192,173,103,65,29,16,10
358,PoD,"21,672,282,647","3,315,970,157",15.30%,"97,045,484,490","427,507,404","85,441,357,563",255,"86,475,904",158,52,12,5,2,168,111,34,17,4,3,0
359,BeaR,"2,901,650,095","117,570,728",4.05%,"5,504,602,975","26,762,175","7,422,588,089",39,"73,502,326",6,1,0,0,0,16,8,1,1,0,0,0
360,AG~,"3,216,925,168","44,628,169",1.39%,"5,020,573,158","44,018,656","7,380,086,095",50,"60,584,057",0,0,0,0,0,19,10,1,0,0,0,0
361,-HLV,"7,060,775,082","423,284,253",5.99%,"7,453,146,512","98,860,239","14,343,329,553",120,"56,297,164",10,4,1,0,0,19,5,1,0,0,0,0
362,SiN',"2,635,611,251","77,301,306",2.93%,"1,515,585,423","23,800,528","3,254,026,330",58,"37,755,435",2,0,0,0,0,0,0,0,0,0,0,0
363,RaGE,"21,731,442,666","2,916,292,649",13.42%,"106,877,361,233","826,116,291","85,535,965,394",170,"130,083,542",123,65,22,5,3,134,127,107,66,19,7,3
364,#Val,"6,436,629,697","379,045,539",5.89%,"12,169,409,240","85,983,318","16,159,824,745",101,"60,383,628",13,2,0,0,0,22,9,2,2,0,0,0
365,#SP,"4,791,875,545","248,621,736",5.19%,"6,648,520,105","63,797,497","10,727,941,061",82,"55,061,301",5,2,0,0,0,10,3,0,0,0,0,0
366,WoV,"5,637,736,470","122,754,363",2.18%,"8,280,060,334","67,993,482","11,307,618,564",89,"60,156,752",3,1,0,0,0,21,12,2,1,0,0,0
367,,"1,826,239,550","46,669,435",2.56%,"1,640,445,668","17,274,002","2,778,213,216",37,"45,646,281",3,0,0,0,0,3,1,1,0,0,0,0
368,C-TD,"2,984,074,289","14,656,995",0.49%,"3,334,331,519","32,452,681","5,246,796,185",49,"57,448,450",0,0,0,0,0,9,5,1,0,0,0,0
369,ZeRo,"13,109,122,953","1,013,348,228",7.73%,"23,072,755,545","187,407,821","33,601,038,699",206,"61,469,093",30,11,4,0,0,57,25,3,0,0,0,0
370,SlW,"7,189,968,343","266,054,580",3.70%,"6,716,876,088","101,516,543","14,779,286,123",114,"57,395,346",3,1,0,0,0,16,6,0,0,0,0,0
371,EXAL,"2,263,149,109","38,943,973",1.72%,"1,379,857,787","22,155,097","2,787,618,784",41,"50,596,472",1,0,0,0,0,5,1,0,0,0,0,0
372,,"951,743,925","4,933,192",0.52%,"427,738,357","11,849,028","1,089,316,827",24,"36,359,312",0,0,0,0,0,0,0,0,0,0,0,0
373,REF,"22,487,367,697","636,381,679",2.83%,"39,214,572,475","318,735,103","61,190,729,819",325,"71,085,890",3,0,0,0,0,116,53,6,2,0,0,0
374,RMRS,"1,634,140,300","58,570,505",3.58%,"4,406,530,532","38,604,695","4,843,754,469",24,"64,764,196",1,1,0,0,0,8,4,0,0,0,0,0
375,NxW1,"27,673,580,233","6,250,146,820",22.59%,"148,699,380,225","882,810,873","107,026,523,897",269,"106,802,385",180,135,71,47,27,181,164,114,66,20,8,7
376,MAD!,"9,776,304,186","1,192,844,441",12.20%,"22,707,769,811","147,246,765","26,762,423,584",132,"72,451,315",50,19,5,1,0,55,33,14,3,0,0,0
377,'WAR,"3,319,072,134","20,882,826",0.63%,"1,550,258,571","31,852,623","4,240,584,063",62,"50,121,862",0,0,0,0,0,4,2,0,0,0,0,0
378,VN~G,"2,518,196,469","101,521,364",4.03%,"3,524,770,304","31,362,520","4,523,177,599",51,"43,481,807",4,1,0,0,0,5,0,0,0,0,0,0
379,tKg,"3,268,637,601","37,557,989",1.15%,"1,171,299,049","18,174,752","3,492,346,285",61,"46,410,131",0,0,0,0,0,3,1,0,0,0,0,0
380,WIRA,"14,053,544,618","2,654,617,547",18.89%,"56,400,016,134","306,486,108","53,428,553,318",147,"97,260,709",103,55,24,11,6,110,89,38,11,0,0,0
381,Mist,"7,069,345,887","721,553,056",10.21%,"23,046,089,434","153,116,098","22,792,892,533",71,"98,707,992",33,6,1,1,1,48,31,12,6,3,0,0
383,JPS,"2,706,558,495","58,418,128",2.16%,"1,591,173,411","23,686,199","2,946,862,574",58,"41,258,059",1,1,0,0,0,2,0,0,0,0,0,0
384,,"2,714,149,933","3,464,970",0.13%,"1,853,864,365","31,010,363","3,577,417,309",56,"41,653,029",0,0,0,0,0,3,0,0,0,0,0,0
385,JKL,"12,420,177,254","1,941,353,013",15.63%,"38,663,385,134","236,544,609","41,025,976,752",167,"74,280,465",78,26,14,6,2,82,40,8,1,0,0,0
386,BRAH,"7,540,465,861","595,186,377",7.89%,"9,953,951,488","105,476,862","16,553,323,603",114,"61,219,524",20,6,3,1,0,27,10,0,0,0,0,0
387,T3M,"4,823,031,733","386,041,020",8.00%,"11,895,784,089","68,814,427","14,271,216,354",66,"68,681,382",15,4,1,1,0,25,10,7,2,0,0,0
388,YTS,"5,866,032,776","686,270,632",11.70%,"13,124,570,500","86,770,203","16,763,358,011",86,"67,823,507",28,7,2,1,1,31,13,2,1,0,0,0
389,SP-A,"1,800,807,828","59,659,278",3.31%,"1,825,852,699","15,264,852","2,717,898,852",32,"46,631,530",3,0,0,0,0,5,3,0,0,0,0,0
390,FT90,"5,164,838,943","303,110,636",5.87%,"8,237,935,390","72,149,912","11,858,690,715",86,"57,319,830",7,3,1,0,0,10,4,0,0,0,0,0
391,,"973,523,199","148,191",0.02%,"375,814,514","11,572,748","890,648,634",28,"30,665,390",0,0,0,0,0,0,0,0,0,0,0,0
392,GOX-,"1,074,570,119","360,476",0.03%,"242,947,786","10,861,626","1,179,538,079",17,"47,873,113",0,0,0,0,0,1,1,0,0,0,0,0
393,IBL,"3,710,038,830","32,949,262",0.89%,"2,919,837,316","35,665,692","5,911,182,173",65,"47,014,971",1,0,0,0,0,4,0,0,0,0,0,0
394,AFK~,"8,992,222,213","1,112,433,129",12.37%,"31,090,854,572","167,752,597","31,693,920,221",106,"85,732,832",53,11,4,0,0,64,35,11,3,0,0,0
395,2-UP,"8,685,426,185","964,021,282",11.10%,"25,818,801,054","148,700,264","27,299,345,964",101,"87,863,577",54,8,2,0,0,70,52,11,3,1,0,0
396,LGN~,"1,005,626,324","36,573,409",3.64%,"972,737,193","7,129,249","1,857,249,410",29,"35,886,191",1,1,0,0,0,1,0,0,0,0,0,0
397,V-MS,"5,118,903,952","411,935,610",8.05%,"8,694,423,536","66,088,853","10,384,795,891",88,"55,653,318",12,6,3,1,0,20,11,1,0,0,0,0
399,NW-A,"8,011,685,455","939,335,856",11.72%,"19,102,471,040","106,356,590","20,232,820,834",98,"78,360,798",35,11,5,4,1,51,27,11,5,0,0,0
400,,"914,026,275","1,808,551",0.20%,"284,460,546","9,745,826","693,392,909",17,"48,072,432",0,0,0,0,0,2,1,0,0,0,0,0
401,OL!,"8,967,572,898","2,091,085,287",23.32%,"35,319,111,564","160,563,370","29,371,335,902",92,"98,490,304",78,46,21,10,6,78,48,14,5,1,0,0
402,AsA,"1,404,553,814","35,770,662",2.55%,"578,116,170","10,498,241","1,553,264,906",25,"50,348,377",0,0,0,0,0,3,1,0,0,0,0,0
403,FR_X,"16,457,743,445","2,070,771,448",12.58%,"50,533,799,402","228,706,045","57,447,748,740",157,"105,144,863",109,29,6,1,0,137,105,25,8,0,0,0
404,4O4,"2,410,092,984","250,034,905",10.37%,"5,281,507,213","24,306,989","5,232,393,499",41,"56,883,043",10,6,4,0,0,13,11,2,0,0,0,0
405,-TB-,"1,994,826,046","284,473,511",14.26%,"6,378,568,108","38,805,602","5,803,612,563",24,"80,532,760",10,5,4,1,0,13,9,1,0,0,0,0
406,,"129,403,762","51,365",0.04%,"9,916,580","246,603","56,889,299",2,"55,426,917",0,0,0,0,0,0,0,0,0,0,0,0
407,GoCo,"1,183,657,443","627,593",0.05%,"428,470,486","8,835,366","1,208,591,146",27,"36,447,632",0,0,0,0,0,1,0,0,0,0,0,0
408,,"398,569,187","285,254",0.07%,"198,951,031","3,234,695","482,382,169",11,"32,736,511",0,0,0,0,0,0,0,0,0,0,0,0
409,NxG,"8,614,935,095","813,155,983",9.44%,"19,882,042,340","136,364,804","25,719,359,183",104,"81,865,505",29,6,3,2,1,57,35,9,2,0,0,0
410,WE~R,"12,184,152,216","1,205,419,977",9.89%,"33,004,056,848","238,187,073","37,611,373,457",139,"85,980,351",46,11,4,4,1,79,41,17,9,2,2,1
411,,"985,928,506",,0.00%,"343,508,590","4,381,201","696,267,556",27,"30,416,735",0,0,0,0,0,1,0,0,0,0,0,0
412,Haus,"5,261,086,245","459,210,792",8.73%,"9,611,676,941","93,260,284","13,148,856,740",74,"63,656,215",14,4,0,0,0,18,11,0,0,0,0,0
413,,"368,208,088","4,230,383",1.15%,"291,814,165","1,737,306","417,313,194",10,"34,999,870",0,0,0,0,0,0,0,0,0,0,0,0
414,-TS-,"3,368,554,186","297,833,555",8.84%,"6,073,386,040","45,956,551","7,148,104,265",47,"65,350,233",9,2,1,1,1,17,9,0,0,0,0,0
415,p2L,"4,492,362,017","956,043,651",21.28%,"14,680,464,912","72,657,243","13,094,293,981",65,"69,822,791",29,20,14,9,2,32,14,4,0,0,0,0
416,ECRU,"2,648,018,802","88,371,333",3.34%,"1,882,208,609","37,064,081","4,050,687,993",48,"47,833,754",3,0,0,0,0,2,1,0,0,0,0,0
417,CMBK,"2,024,091,751","28,467,685",1.41%,"1,670,389,685","22,144,717","2,901,614,574",43,"44,313,567",0,0,0,0,0,1,1,0,0,0,0,0
419,LS~,"9,817,530,579","698,286,332",7.11%,"19,369,462,252","128,462,385","24,281,922,536",136,"69,878,058",21,5,0,0,0,53,23,1,0,0,0,0
420,,"396,262,876","7,537,902",1.90%,"276,481,138","4,703,571","521,538,846",8,"38,246,983",0,0,0,0,0,0,0,0,0,0,0,0
421,,"575,108,364","10,140,105",1.76%,"207,100,578","3,534,630","562,778,353",13,"36,547,995",0,0,0,0,0,0,0,0,0,0,0,0
422,TARO,"9,687,765,057","959,573,111",9.90%,"13,332,553,263","116,050,692","20,114,338,101",157,"57,383,768",31,13,4,3,2,33,12,1,0,0,0,0
423,,"693,204,835","2,220,312",0.32%,"371,258,694","8,473,633","789,464,712",17,"35,485,803",0,0,0,0,0,1,0,0,0,0,0,0
424,~FF~,"8,324,487,573","1,336,329,766",16.05%,"28,689,104,885","156,153,143","27,179,941,189",92,"89,554,501",56,24,9,4,2,62,46,11,3,1,0,0
425,XGP,"2,305,592,936","169,016,775",7.33%,"3,664,256,417","30,503,269","6,093,834,584",33,"62,602,854",6,3,0,0,0,8,5,1,1,0,0,0
426,TPTS,"6,920,347,308","462,344,550",6.68%,"8,243,509,393","98,793,811","14,959,642,629",122,"53,232,680",12,4,0,0,0,14,6,1,0,0,0,0
427,FTS0,"14,401,607,261","1,521,237,405",10.56%,"29,230,860,225","228,590,015","38,996,249,923",170,"82,832,200",61,17,6,0,0,94,61,10,1,0,0,0
428,NM!,"8,776,993,562","1,937,203,469",22.07%,"41,678,637,421","220,479,038","30,241,246,176",87,"100,663,645",64,39,24,15,8,56,49,31,14,2,1,0
429,69P,"1,329,723,888","71,634,978",5.39%,"1,152,773,823","14,760,364","2,113,549,519",24,"47,660,550",1,1,1,0,0,2,1,1,0,0,0,0
430,PR-E,"9,230,632,423","656,038,098",7.11%,"22,818,086,100","149,384,372","28,064,705,953",137,"65,810,823",16,3,0,0,0,34,15,1,1,0,0,0
431,AoD`,"1,472,101,709","41,565,983",2.82%,"2,364,614,568","17,096,640","4,011,643,092",25,"58,059,374",1,0,0,0,0,6,1,0,0,0,0,0
433,-FK-,"1,733,371,787","102,506,643",5.91%,"2,943,474,946","20,813,258","3,738,609,749",30,"56,439,873",3,3,0,0,0,5,4,0,0,0,0,0
435,-VW-,"2,965,637,235","251,309,949",8.47%,"7,214,063,768","37,572,489","7,036,865,877",39,"72,716,863",10,1,1,1,1,17,8,2,0,0,0,0
436,PACT,"4,596,925,768","678,625,120",14.76%,"10,427,953,240","80,645,439","12,542,120,403",63,"68,149,879",22,8,4,4,2,23,10,3,0,0,0,0
437,,"471,837,772",,0.00%,"88,049,823","2,047,549","330,722,364",11,"32,859,110",0,0,0,0,0,0,0,0,0,0,0,0
438,BREW,"6,968,711,877","382,424,084",5.49%,"11,406,634,820","113,631,181","15,268,629,264",95,"70,763,161",11,3,0,0,0,34,25,7,1,0,0,0
439,blz,"7,356,264,899","633,524,221",8.61%,"19,374,341,940","134,210,749","22,962,916,582",105,"69,888,291",17,7,3,0,0,33,16,6,2,0,0,0
440,VKNG,"5,593,634,340","791,036,822",14.14%,"13,776,739,877","106,152,204","16,477,193,556",82,"67,110,010",25,11,10,5,2,23,15,5,1,0,0,0
441,,"378,147,270","404,002",0.11%,"54,915,132","2,382,635","425,857,583",8,"42,029,810",0,0,0,0,0,0,0,0,0,0,0,0
442,,"527,110,001","32,943,689",6.25%,"978,314,233","4,328,753","992,421,127",8,"47,061,328",2,0,0,0,0,2,1,0,0,0,0,0
443,F~F,"2,283,009,518","23,055,831",1.01%,"2,128,980,745","17,987,927","3,521,663,957",31,"67,284,580",0,0,0,0,0,10,5,1,0,0,0,0
444,SCL,"25,760,811,345","5,424,461,172",21.06%,"130,369,650,800","594,789,714","96,303,697,825",216,"120,809,863",175,132,69,32,19,169,145,94,62,19,6,3
445,~DoC,"1,714,990,693","59,036,318",3.44%,"3,504,576,429","27,806,374","3,578,976,740",26,"62,102,645",2,0,0,0,0,9,4,1,0,0,0,0
446,ExV,"4,736,109,994","266,337,490",5.62%,"10,074,537,837","76,107,971","12,099,514,771",75,"61,157,554",10,1,0,0,0,20,12,5,1,0,0,0
447,Rggy,"3,732,745,854","524,574,458",14.05%,"10,763,187,041","52,370,133","11,014,882,405",49,"73,663,194",20,6,2,2,2,21,13,5,2,1,1,0
448,VIHE,"1,463,640,095","59,685,643",4.08%,"805,619,309","10,826,432","2,108,290,433",28,"42,975,149",3,0,0,0,0,2,0,0,0,0,0,0
449,,"852,616,632","1,662,462",0.19%,"353,373,970","3,600,361","806,603,461",17,"45,933,573",0,0,0,0,0,3,0,0,0,0,0,0
450,ROE',"3,414,388,097","361,804,302",10.60%,"12,666,384,635","57,159,081","10,723,039,027",34,"97,374,708",17,7,3,0,0,22,21,10,5,0,0,0
451,51DR,"1,425,214,877","71,876,322",5.04%,"2,255,268,461","21,677,009","2,955,643,864",20,"63,334,149",4,1,0,0,0,5,3,1,0,0,0,0
452,-VKG,"16,799,067,913","3,244,116,584",19.31%,"75,896,925,127","353,127,457","62,255,887,004",154,"109,693,368",130,73,28,10,4,121,96,51,20,3,1,1
453,,"841,809,798","37,223,695",4.42%,"601,427,940","7,267,545","1,241,180,930",19,"42,391,372",2,0,0,0,0,3,2,0,0,0,0,0
454,VCZ,"2,053,180,595","28,540,429",1.39%,"1,556,854,085","16,113,952","2,719,877,521",35,"52,368,908",0,0,0,0,0,6,3,0,0,0,0,0
455,_MW_,"5,420,464,125","429,550,218",7.92%,"11,779,175,380","98,419,484","13,354,807,110",73,"71,791,297",17,4,1,1,0,24,15,9,1,0,0,0
456,,"254,101,765",,0.00%,"79,988,210","1,489,592","180,913,194",6,"32,208,530",0,0,0,0,0,0,0,0,0,0,0,0
457,,"753,887,383","4,299,312",0.57%,"190,557,040","9,366,475","517,165,381",16,"29,841,096",0,0,0,0,0,0,0,0,0,0,0,0
458,KO-E,"9,981,223,387","1,768,014,788",17.71%,"39,345,976,304","220,307,970","34,059,618,179",105,"94,884,565",66,31,16,9,3,66,44,17,11,2,0,0
459,Ns0S,"3,770,160,545","181,288,999",4.81%,"5,579,005,867","39,986,615","6,816,611,809",57,"62,257,722",7,2,1,0,0,13,11,3,1,0,0,0
460,LG~F,"8,734,829,369","625,738,393",7.16%,"11,034,819,496","105,416,157","20,429,627,978",153,"54,354,706",12,5,3,1,0,19,9,2,0,0,0,0
461,CK61,"1,283,308,587","66,400,171",5.17%,"2,357,577,070","8,576,214","2,439,919,253",23,"54,816,775",2,1,1,0,0,4,3,3,0,0,0,0
462,DaD,"3,462,168,669","286,085,272",8.26%,"8,588,943,761","45,608,603","8,765,112,112",42,"80,316,445",12,4,2,1,0,23,18,7,1,0,0,0
463,PIRU,"7,562,433,729","492,463,679",6.51%,"10,734,521,103","115,957,967","14,970,279,487",127,"54,537,133",13,4,2,1,0,20,8,4,2,0,0,0
464,,"788,062,075","14,219,357",1.80%,"662,559,441","7,942,349","1,163,755,236",19,"35,547,692",0,0,0,0,0,0,0,0,0,0,0,0
465,,"607,171,786","18,266,022",3.01%,"779,402,605","4,911,804","1,292,062,914",11,"53,674,226",0,0,0,0,0,3,0,0,0,0,0,0
466,ScL,"4,098,654,093","255,937,702",6.24%,"9,249,253,917","47,736,173","10,070,649,505",66,"59,343,629",9,3,0,0,0,16,12,2,0,0,0,0
467,ERS2,"6,194,646,547","865,389,245",13.97%,"21,305,422,452","97,793,503","20,118,893,727",69,"88,821,385",29,17,7,2,1,40,34,11,5,2,1,1
468,RN:L,"2,430,815,058","194,329,951",7.99%,"7,231,790,433","38,124,165","7,342,766,191",29,"81,082,474",9,1,0,0,0,15,10,3,1,0,0,0
469,-AF,"3,191,215,523","98,870,926",3.10%,"5,174,787,173","36,624,604","6,148,519,978",53,"58,228,678",1,1,0,0,0,10,7,2,1,1,1,1
470,WND!,"11,047,918,201","842,644,229",7.63%,"24,434,424,852","178,385,119","31,722,432,834",167,"66,160,073",17,7,2,0,0,50,19,1,1,0,0,0
472,ACIE,"1,418,355,943","43,548,636",3.07%,"1,856,434,717","11,357,687","2,797,908,745",26,"53,183,680",1,1,0,0,0,5,1,0,0,0,0,0
473,SVR,"7,714,733,093","1,013,072,378",13.13%,"27,448,261,048","122,561,930","26,127,079,467",70,"109,321,423",46,15,7,3,2,61,47,17,6,1,0,0
474,APX,"2,904,497,135","99,645,013",3.43%,"1,887,909,402","24,706,096","4,053,069,781",52,"50,048,437",0,0,0,0,0,2,1,1,0,0,0,0
475,,"275,719,487","489,184",0.18%,"129,933,689","1,793,546","160,697,981",6,"38,576,630",0,0,0,0,0,0,0,0,0,0,0,0
476,GSSb,"11,911,988,453","1,523,489,929",12.79%,"36,377,500,556","217,092,924","42,732,884,742",164,"72,357,635",68,15,3,1,1,71,38,5,1,0,0,0
477,MLS,"6,605,873,062","378,950,520",5.74%,"10,212,108,099","89,942,975","13,829,846,840",94,"67,302,440",11,2,1,0,0,25,13,3,3,1,1,1
478,#NCT,"1,412,389,063","19,690,686",1.39%,"998,911,758","14,063,423","2,113,859,147",30,"43,532,190",0,0,0,0,0,1,1,0,0,0,0,0
479,,"425,212,482","2,931,875",0.69%,"239,944,033","4,567,413","313,694,253",17,"25,514,178",0,0,0,0,0,0,0,0,0,0,0,0
480,,"639,896,852","7,133,675",1.11%,"265,784,428","4,892,809","685,939,182",16,"32,705,003",0,0,0,0,0,0,0,0,0,0,0,0
481,TDVR,"3,894,139,974","338,944,405",8.70%,"8,185,040,656","76,404,057","12,208,541,881",61,"60,470,187",13,3,1,0,0,14,7,1,0,0,0,0
482,DEz,"4,639,515,823","258,513,946",5.57%,"6,006,395,422","45,977,238","9,260,212,533",68,"65,087,700",5,2,0,0,0,17,9,3,0,0,0,0
483,-WW-,"16,413,803,799","3,415,975,109",20.81%,"69,651,174,478","314,382,233","59,185,410,750",185,"89,184,271",128,64,28,11,8,102,66,32,14,3,3,2
484,,"148,782,987",511,0.00%,"29,761,069","574,567","76,213,301",2,"39,737,487",0,0,0,0,0,0,0,0,0,0,0,0
486,,"814,332,608","5,822",0.00%,"603,828,557","5,162,353","1,102,774,359",19,"35,420,649",0,0,0,0,0,0,0,0,0,0,0,0
487,,"696,375,971","28,086,978",4.03%,"462,358,268","14,118,596","934,070,096",15,"42,994,249",1,0,0,0,0,0,0,0,0,0,0,0
488,,"527,042,112","20,534,474",3.90%,"498,907,786","10,708,709","858,926,700",13,"41,003,821",1,0,0,0,0,2,2,0,0,0,0,0
489,,"756,099,266","7,788,487",1.03%,"619,169,654","4,296,953","877,118,204",16,"43,807,183",0,0,0,0,0,1,0,0,0,0,0,0
490,,"505,657,232","3,615,998",0.72%,"855,132,615","5,725,202","423,813,590",8,"45,081,059",0,0,0,0,0,1,1,1,1,0,0,0
491,-BD-,"7,411,482,382","1,133,021,494",15.29%,"23,289,996,717","116,722,533","21,986,181,500",97,"76,916,341",40,24,11,3,1,43,31,14,5,0,0,0
492,,"244,680,926","8,836,640",3.61%,"135,218,871","2,725,792","235,845,710",6,"34,845,206",0,0,0,0,0,0,0,0,0,0,0,0
493,-SU-,"3,384,221,311","392,591,181",11.60%,"8,134,946,563","45,726,854","8,691,136,012",61,"53,547,659",13,4,3,3,2,12,7,2,0,0,0,0
494,,"1,334,278,493","132,240,776",9.91%,"1,041,828,296","14,630,591","2,037,623,705",29,"37,966,476",5,1,0,0,0,0,0,0,0,0,0,0
495,,"1,018,183,702","9,458,698",0.93%,"238,031,309","3,018,117","733,839,467",20,"46,677,584",0,0,0,0,0,0,0,0,0,0,0,0
496,,"1,726,343,868","67,355,335",3.90%,"1,301,393,577","21,583,007","2,509,210,514",34,"46,003,689",2,1,0,0,0,2,0,0,0,0,0,0
497,,"130,095,531",,0.00%,"35,511,643","1,169,486","52,559,131",4,"27,475,325",0,0,0,0,0,0,0,0,0,0,0,0
498,,"635,177,919","8,433,632",1.33%,"330,353,235","4,624,252","595,781,221",19,"26,397,242",0,0,0,0,0,0,0,0,0,0,0,0
499,,"790,575,322","42,890,992",5.43%,"1,640,186,666","12,263,555","1,347,666,768",15,"49,751,595",1,1,1,0,0,4,2,0,0,0,0,0
500,-HD-,"15,479,130,350","2,573,352,443",16.62%,"58,866,130,366","230,872,369","54,529,393,236",167,"93,462,680",113,47,13,7,2,110,70,40,15,1,0,0
501,FGHT,"2,654,058,562","432,395,155",16.29%,"7,954,497,593","43,045,128","7,854,415,538",28,"93,436,420",14,10,4,3,2,15,14,5,3,2,1,0
502,,"1,736,231,168","43,751,394",2.52%,"1,520,271,701","26,545,834","3,249,373,549",40,"39,588,262",2,0,0,0,0,2,0,0,0,0,0,0
503,SPCT,"6,482,150,720","285,191,762",4.40%,"8,659,238,483","83,224,027","12,439,731,645",105,"58,433,311",5,2,1,1,1,20,11,2,2,0,0,0
504,HiP,"7,915,815,630","1,349,821,537",17.05%,"23,295,388,128","169,131,740","23,546,034,476",100,"74,164,446",37,23,13,9,7,36,25,15,5,1,0,0
505,ODY1,"7,456,116,754","1,053,623,663",14.13%,"24,434,565,854","126,655,205","22,007,568,976",76,"97,026,900",43,19,12,5,2,48,41,20,8,3,1,0
506,,"789,971,732","11,300,444",1.43%,"490,891,859","6,022,395","1,283,803,223",17,"42,276,047",0,0,0,0,0,1,1,0,0,0,0,0
508,,"666,650,833","52,479,885",7.87%,"1,572,784,559","7,253,935","1,116,326,563",9,"63,775,878",1,1,1,1,0,3,2,1,1,0,0,0
509,-I-,"11,824,318,163","2,122,685,802",17.95%,"51,518,636,496","312,390,314","45,372,726,315",102,"114,401,948",85,47,19,9,4,87,72,35,13,1,1,0
510,,"459,203,164","3,622,257",0.79%,"203,613,216","2,423,801","379,663,001",8,"47,622,203",0,0,0,0,0,1,0,0,0,0,0,0
511,VIML,"2,095,915,928","139,237,179",6.64%,"1,652,980,451","26,322,307","3,793,602,239",35,"53,581,157",3,2,0,0,0,4,1,0,0,0,0,0
512,,"939,663,841","59,381,493",6.32%,"847,010,588","9,346,661","2,091,576,121",14,"61,087,045",4,0,0,0,0,4,0,0,0,0,0,0
513,,"1,224,595,550","863,357",0.07%,"1,224,189,705","10,348,813","1,719,898,450",25,"41,990,503",0,0,0,0,0,1,0,0,0,0,0,0
