KD,#1 Ally,Top 300 Power,Top 300 Merits,M/P,Top 300 Kills,Top 300 Deads,Top 300 Heals,CH25,CH25 AP,Lords,Lords AP,Total Power,CH16+,CH16+ AP,Top 600 Power,CH16+ KL,CH25 KL,Alliances,Ally Lords,Unique Alliances Power Order,1B+ KD Power,1B+ Alliance Tags,#1 Ally Power,Top 600 Merits,Top 600 Kills,Top 600 Healts,Top 600 Deads,10-20M,20-40M,40-60M,60-80M,80-100M,100-125M,125-150M,150-200M,200M+
266,RA-C,"18,135,715,142","2,226,704,542",12.28%,"42,400,316,148","121,486,201","27,173,042,509",169,"101,375,756",605,"30,235,528","18,292,494,216",408,"44,742,890","18,292,469,216",0,0,14,542,RA-C,"16,765,680,790",RA-C,"16,765,680,790","2,226,728,983","42,401,165,812","27,193,125,704","122,537,796",52,11,1,24,46,45,18,3,12
134,L~TS,"24,786,178,610","2,994,771,160",12.08%,"60,889,880,145","107,020,676","42,336,272,734",249,"96,466,279",663,"39,650,210","26,288,089,367",626,"41,981,247","26,269,114,526",0,0,10,615,"L~TS,L-TM,L-TF","25,308,431,659","L~TS,L-TM,L-TF","16,799,138,656","2,996,116,742","60,971,770,933","42,700,712,658","114,021,087",68,7,26,43,84,60,20,7,5
5,NOIR,"26,148,234,887","3,053,195,913",11.68%,"75,686,562,791","191,154,459","49,398,209,398",203,"123,673,553",529,"50,140,780","26,524,472,570",488,"54,339,607","26,524,472,570",0,0,14,418,NOIR,"21,154,012,719",NOIR,"21,154,012,719","3,053,463,727","75,696,003,421","49,558,061,654","194,355,812",43,19,10,9,20,73,36,27,12
66,AncS,"10,398,095,055","1,190,670,018",11.45%,"23,884,474,082","82,561,366","18,580,530,777",112,"83,453,101",303,"34,317,198","10,398,110,976",269,"38,602,889","10,398,110,976",0,0,7,227,AncS,"8,684,654,135",AncS,"8,684,654,135","1,190,670,018","23,884,474,082","18,580,530,777","82,561,366",34,21,10,17,32,22,6,3,2
61,EIC,"27,735,215,446","3,153,619,519",11.37%,"69,486,985,398","201,370,353","51,801,548,415",321,"88,114,400",728,"41,642,590","30,315,805,174",673,"45,032,864","30,247,655,515",0,0,15,621,"EIC,EIH,=EIF,EIS","25,364,323,452","EIC,EIH,=EIF,EIS","14,474,865,318","3,161,757,853","69,947,476,112","53,490,188,283","219,391,564",65,27,29,66,108,65,17,5,6
225,IM~W,"17,937,313,821","2,033,065,692",11.33%,"33,664,794,322","169,433,377","36,492,495,362",445,"50,798,624",990,"27,088,520","26,817,635,068",960,"27,921,106","25,049,939,226",778,413,16,789,"IM~W,IM~N,IM~G,IM~C,IM~T","22,266,736,590","IM~W,IM~N,IM~G,IM~C,IM~T","10,943,151,215","2,179,398,222","38,152,613,045","47,064,621,886","238,208,265",151,114,218,87,26,4,1,0,0
223,HWG,"11,313,044,170","1,277,432,931",11.29%,"24,667,757,375","92,872,835","18,438,986,769",119,"83,143,859",685,"17,151,516","11,748,788,610",565,"20,750,042","11,741,912,985",0,0,14,578,HWG,"9,323,643,402",HWG,"9,323,643,402","1,277,490,195","24,681,342,766","18,513,741,687","94,752,261",56,10,16,24,40,17,5,2,2
314,O_o,"16,164,084,728","1,818,309,932",11.25%,"25,498,331,934","86,518,952","19,277,120,220",234,"64,880,985",848,"21,679,255","18,384,008,009",795,"23,095,858","18,092,725,800",0,0,21,661,O_o,"13,906,500,867",O_o,"13,906,500,867","1,820,481,916","25,782,270,548","20,192,216,313","98,802,425",106,53,97,33,32,13,2,1,4
444,SCL,"4,178,045,699","457,741,149",10.96%,"2,940,206,430","15,005,035","2,986,367,695",78,"26,598,146",487,"8,973,342","4,370,017,711",409,"10,616,499","4,370,017,711",0,0,30,408,SCL,"3,379,558,210",SCL,"3,379,558,210","457,837,805","2,943,362,517","3,007,987,537","15,523,380",95,68,3,2,1,0,0,0,0
293,93HH,"17,037,215,426","1,802,577,034",10.58%,"38,285,789,373","132,658,756","31,472,130,326",320,"54,539,885",706,"28,684,083","20,250,962,616",678,"29,848,474","20,096,504,658",509,267,19,574,"93HH,93SH,93FH","16,107,756,352","93HH,93SH,93FH","12,652,924,541","1,817,418,007","39,211,033,092","34,097,573,590","159,581,402",101,100,124,45,36,15,1,3,0
244,TG:&,"16,765,840,815","1,762,597,741",10.51%,"36,745,384,895","215,027,877","30,829,277,567",220,"71,214,376",612,"29,256,157","17,904,768,382",588,"30,436,782","17,903,440,035",485,196,13,544,"TG:&,TG:A","15,225,642,610","TG:&,TG:A","12,643,859,557","1,765,078,876","36,797,332,780","31,275,331,833","222,373,586",91,14,56,67,63,13,2,2,0
435,-VW-,"4,610,484,269","481,974,629",10.45%,"3,097,251,103","10,752,124","3,302,561,201",83,"30,428,446",568,"8,733,507","4,960,631,868",461,"10,635,476","4,960,631,868",0,0,31,489,-VW-,"3,831,433,608",-VW-,"3,831,433,608","482,195,837","3,101,254,223","3,347,114,731","11,731,664",51,96,4,3,0,1,0,0,0
157,CFN,"1,588,460,745","165,819,010",10.44%,"4,795,543,154","12,096,460","2,590,042,985",14,"83,454,411",73,"21,759,736","1,588,460,745",64,"24,759,211","1,588,460,745",34,14,5,57,CFN,"1,414,629,315",CFN,"1,414,629,315","165,819,010","4,795,543,154","2,590,042,985","12,096,460",9,5,2,5,5,2,0,0,0
30,-NA-,"21,553,774,295","2,196,389,376",10.19%,"48,734,900,305","245,150,908","43,008,894,552",270,"77,541,772",608,"37,462,344","22,777,105,237",550,"41,374,500","22,777,065,217",0,0,13,487,"-NA-,NA2,TANK","20,507,937,100","-NA-,NA2,TANK","17,305,035,921","2,198,118,494","48,845,308,004","43,664,770,775","257,397,595",67,47,42,61,68,37,7,7,3
222,HOUW,"18,649,120,943","1,881,935,931",10.09%,"34,555,524,931","150,852,601","35,391,149,931",325,"59,099,846",750,"29,929,980","22,447,484,770",710,"31,593,815","22,221,897,640",0,0,11,644,"HOUW,HOUT,HOUD","19,013,334,111","HOUW,HOUT,HOUD","14,098,744,061","1,913,648,837","35,604,223,656","39,233,535,693","181,031,490",129,74,129,75,39,15,3,1,0
284,RN:W,"11,492,083,576","1,138,045,568",9.90%,"19,571,730,732","70,192,554","20,291,901,907",227,"44,586,709",689,"19,681,612","13,560,630,816",631,"21,445,919","13,501,244,379",0,0,12,588,"RN:W,APX,RN:F","11,994,730,427","RN:W,APX,RN:F","8,310,155,834","1,145,211,499","19,980,010,001","21,542,774,890","81,932,709",127,110,106,13,7,6,0,0,0
57,NF57,"21,940,692,842","2,139,800,648",9.75%,"46,760,694,567","156,638,538","37,051,921,512",271,"79,356,184",574,"39,940,973","22,926,118,397",507,"45,153,986","22,926,118,397",0,0,13,471,"NF57,BB57","19,954,426,363","NF57,BB57","17,653,150,825","2,141,186,445","46,839,623,993","37,373,305,504","162,418,482",53,32,32,69,82,39,9,5,1
220,D~C,"11,318,968,659","1,099,772,854",9.72%,"20,463,070,664","101,123,087","18,742,521,310",137,"75,585,375",349,"32,480,305","11,335,626,557",310,"36,511,806","11,335,626,557",0,0,9,302,"D~C,A~C","10,758,527,778","D~C,A~C","9,585,519,892","1,099,772,854","20,463,098,615","18,742,790,723","101,143,454",32,26,15,31,49,16,5,0,0
243,iFap,"7,307,451,703","709,619,035",9.71%,"13,510,692,387","76,197,241","12,495,486,112",122,"49,397,098",302,"24,197,026","7,307,501,973",282,"25,886,522","7,307,501,973",188,99,13,240,"iFap,IFRM","6,378,233,755","iFap,IFRM","5,373,126,541","709,619,035","13,510,692,387","12,495,486,162","76,197,241",43,40,57,20,6,3,0,0,0
445,DG-A,"2,273,246,450","216,741,910",9.53%,"1,340,153,888","8,481,276","1,572,737,330",26,"24,500,789",260,"8,743,256","2,273,246,450",227,"9,930,883","2,273,246,450",0,0,30,191,DG-A,"1,238,344,772",DG-A,"1,238,344,772","216,741,910","1,340,153,888","1,572,737,330","8,481,276",53,30,1,0,0,0,0,0,0
226,A/D,"7,841,567,026","747,266,728",9.53%,"11,656,629,506","78,607,224","14,313,355,219",99,"71,665,584",222,"35,322,374","7,841,567,026",196,"39,958,999","7,841,567,026",0,0,5,177,A/D,"6,803,746,688",A/D,"6,803,746,688","747,266,728","11,656,629,506","14,313,355,219","78,607,224",26,13,18,39,21,10,2,0,0
375,NxW,"9,991,450,250","951,959,120",9.53%,"9,370,053,862","27,983,230","9,540,598,374",234,"37,166,010",698,"17,184,727","11,994,939,406",632,"18,930,788","11,925,598,700",0,0,40,607,"NxW,DxW","9,433,870,922","NxW,DxW","7,561,569,149","970,036,430","9,618,226,002","10,503,156,974","37,093,855",97,208,24,15,7,2,1,0,0
253,Beat,"13,298,114,024","1,251,156,952",9.41%,"21,651,673,884","107,567,942","23,521,209,676",230,"52,678,210",520,"27,107,855","14,096,084,849",489,"28,799,056","14,096,084,849",316,191,11,439,"Beat,TMP#","11,365,655,411","Beat,TMP#","9,081,662,574","1,252,193,821","21,722,438,511","23,855,385,386","112,498,938",57,70,109,41,22,3,0,0,0
326,GD:L,"10,155,418,208","950,875,914",9.36%,"13,452,686,988","86,210,225","15,379,047,506",257,"35,980,637",611,"19,846,361","12,126,126,388",585,"20,710,354","12,125,288,286",407,208,23,478,"GD:L,GD:S","8,825,278,556","GD:L,GD:S","6,676,351,967","961,249,845","13,738,114,341","16,508,824,043","99,440,018",104,213,39,17,5,0,0,0,0
214,KL7,"13,805,335,166","1,277,420,446",9.25%,"22,654,365,415","93,144,503","28,350,380,218",281,"47,404,701",620,"25,211,529","15,631,148,285",573,"27,246,668","15,628,705,637",0,0,10,553,"KL7,KL7F","13,008,810,536","KL7,KL7F","9,298,016,796","1,287,721,608","23,026,123,285","29,639,711,796","103,713,143",62,106,169,25,4,3,1,0,0
286,WG:L,"17,993,424,552","1,664,324,290",9.25%,"27,201,662,732","158,756,845","31,244,414,443",376,"53,722,667","1,020","23,403,399","23,871,467,437",917,"25,995,392","22,911,129,534",0,0,20,902,"WG:L,WG:G","18,997,314,557","WG:L,WG:G","12,543,184,254","1,777,200,375","29,311,710,964","36,987,389,156","204,877,372",133,114,167,47,30,19,3,2,0
290,!KOD,"13,413,896,185","1,228,123,104",9.16%,"27,120,919,493","115,962,765","25,829,905,822",297,"44,818,652",713,"22,672,044","16,165,167,649",672,"24,031,675","16,041,792,128",504,262,20,608,"!KOD,KOF!,!KoD","12,897,952,453","!KOD,KOF!,!KoD","9,530,889,886","1,244,298,881","27,894,551,101","28,210,220,468","136,363,774",126,135,110,19,17,5,2,0,1
47,-FU,"10,786,703,387","980,782,548",9.09%,"15,274,598,206","133,252,309","18,349,513,647",173,"55,450,621",354,"30,655,822","10,852,161,079",336,"32,277,267","10,852,161,079",0,0,8,239,-FU,"8,131,591,837",-FU,"8,131,591,837","980,784,458","15,275,907,596","18,366,615,307","133,691,424",31,51,60,47,17,4,2,0,0
7,-TC-,"22,110,310,625","1,990,417,224",9.00%,"33,514,404,226","165,757,504","40,964,294,190",315,"71,270,233",554,"42,793,007","23,707,326,030",519,"45,647,507","23,707,326,030",0,0,8,499,"-TC-,TCX","21,316,048,460","-TC-,TCX","13,785,437,797","1,998,002,188","33,827,024,184","42,072,613,024","180,795,436",50,22,76,107,79,22,3,2,0
221,SW7N,"19,341,546,103","1,722,294,973",8.90%,"39,942,133,588","185,138,665","37,491,274,209",482,"52,606,943","1,013","29,620,311","30,005,374,865",978,"30,669,730","27,465,022,258",826,437,24,888,"SW7N,SW-W,SWEE,SW-N","23,689,742,817","SW7N,SW-W,SWEE,SW-N","12,893,481,290","1,863,850,441","46,112,633,904","50,674,677,257","269,645,384",190,143,210,94,29,13,2,1,1
19,EXP,"17,015,014,061","1,513,805,971",8.90%,"37,192,586,778","107,992,675","32,751,967,852",221,"73,336,985",359,"47,613,330","17,093,185,420",340,"50,254,842","17,093,185,420",263,204,10,305,"EXP,LILZ","15,487,002,484","EXP,LILZ","12,495,006,210","1,513,835,512","37,193,711,243","32,769,742,148","108,426,778",30,14,46,85,63,10,5,1,0
81,DBB,"17,530,123,822","1,557,167,288",8.88%,"27,011,223,980","163,415,450","31,386,977,223",244,"68,390,243",445,"40,440,800","17,996,156,148",413,"43,537,222","17,996,156,148",0,0,15,321,"DBB,DBC-","14,302,409,069","DBB,DBC-","13,127,902,659","1,557,616,026","27,036,548,703","31,537,039,282","168,957,177",40,52,56,66,46,27,3,4,0
433,TT-B,"3,542,017,939","311,562,277",8.80%,"2,010,368,556","16,709,644","2,254,465,638",41,"31,459,558",383,"9,425,561","3,609,989,732",334,"10,720,189","3,609,989,732",0,0,39,292,TT-B,"2,580,389,838",TT-B,"2,580,389,838","311,706,316","2,011,178,831","2,263,470,895","17,089,206",80,41,4,3,1,0,0,0,0
384,RR84,"8,800,234,015","772,974,176",8.78%,"6,876,104,375","33,200,091","6,828,880,076",173,"38,962,313",629,"16,077,659","10,112,847,768",569,"17,727,423","10,108,584,272",0,0,46,554,RR84,"6,283,221,292",RR84,"6,283,221,292","776,314,375","6,967,530,775","7,123,958,671","35,896,844",106,158,18,8,8,2,1,1,1
249,WB:A,"20,699,561,882","1,778,350,585",8.59%,"52,397,031,378","193,266,967","37,402,374,456",237,"83,348,628","1,094","21,148,824","23,136,813,000",888,"25,920,441","22,633,194,456",653,218,28,985,"WB:A,WB_","18,903,412,755","WB:A,WB_","16,341,816,744","1,781,257,297","52,638,279,193","38,591,162,164","202,004,210",119,15,32,60,75,36,9,7,2
376,MAD!,"6,624,656,774","568,656,033",8.58%,"4,663,668,646","32,697,718","6,873,080,519",152,"29,212,370",513,"14,260,569","7,315,671,702",472,"15,465,613","7,315,671,702",0,0,31,432,MAD!,"4,857,416,419",MAD!,"4,857,416,419","571,186,646","4,715,686,688","7,080,005,160","36,255,448",99,156,10,2,0,0,0,0,0
186,EWL,"13,534,156,567","1,148,761,651",8.49%,"21,465,324,792","109,508,056","25,536,436,139",250,"50,916,654",462,"30,519,557","14,100,035,109",433,"32,541,716","14,100,035,109",341,220,11,414,"EWL,ERA,xERA","12,069,008,470","EWL,ERA,xERA","8,598,796,468","1,149,503,550","21,541,292,601","25,744,619,819","113,856,258",48,61,129,50,16,0,0,0,0
211,K211,"13,789,449,937","1,165,594,153",8.45%,"22,152,420,921","84,394,472","27,344,594,723",279,"47,520,007",516,"29,360,844","15,150,195,668",480,"31,536,462","15,150,195,668",397,255,14,461,"K211,DvF,211F","13,259,751,406","K211,DvF,211F","9,362,003,188","1,173,148,020","22,401,354,430","28,437,773,274","91,302,472",61,108,142,34,12,2,0,0,0
218,E18,"18,144,123,592","1,528,927,539",8.43%,"27,255,230,314","152,633,836","27,903,899,379",247,"70,272,285",521,"36,156,565","18,837,570,271",480,"39,223,690","18,837,570,271",0,0,16,445,"E18,A18","16,368,269,257","E18,A18","14,655,086,025","1,529,685,258","27,298,678,810","28,099,986,085","157,399,777",63,35,68,60,51,28,3,2,1
187,SUN!,"11,059,015,406","930,135,285",8.41%,"21,377,607,188","76,206,732","20,290,575,523",151,"65,747,913",332,"33,391,528","11,085,987,173",314,"35,271,674","11,085,987,173",244,135,7,268,SUN!,"8,728,848,791",SUN!,"8,728,848,791","930,136,068","21,378,094,335","20,292,352,690","76,406,719",43,19,50,45,23,12,2,1,0
385,JKL,"7,537,050,753","633,023,718",8.40%,"6,320,626,225","30,304,510","6,923,866,234",185,"31,343,246",966,"9,558,767","9,233,768,741",628,"14,612,258","9,144,538,734",37,2,43,633,JKL,"5,446,192,536",JKL,"5,446,192,536","642,129,030","6,468,908,365","7,508,991,231","39,893,545",117,165,11,4,3,2,0,1,0
40,TFS,"8,833,797,337","726,909,823",8.23%,"16,472,636,344","108,754,982","13,033,563,848",110,"66,245,490",420,"21,250,288","8,925,121,054",346,"25,753,740","8,925,121,054",178,72,17,340,TFS,"5,676,094,763",TFS,"5,676,094,763","726,989,385","16,478,474,538","13,062,064,374","109,839,530",53,38,12,16,19,21,1,1,1
446,DGS,"2,925,191,276","239,305,573",8.18%,"1,425,172,058","8,619,522","1,884,399,238",46,"24,384,263",282,"10,373,019","2,925,191,276",242,"12,002,040","2,925,191,276",0,0,30,207,DGS,"2,204,904,569",DGS,"2,204,904,569","239,305,573","1,425,172,058","1,884,399,238","8,619,522",86,40,1,1,0,0,0,0,0
27,LAWS,"16,647,244,148","1,328,816,109",7.98%,"24,955,469,801","150,776,132","28,794,307,701",250,"63,089,533",439,"38,968,762","17,107,286,493",402,"42,513,491","17,107,286,493",0,0,4,355,"LAWS,LAWA","14,872,953,580","LAWS,LAWA","13,322,887,818","1,329,028,462","24,983,749,278","28,907,635,979","153,762,330",34,47,84,82,34,16,1,0,0
279,MBH,"13,589,880,714","1,074,001,922",7.90%,"20,886,476,845","86,353,241","20,407,897,684",225,"55,152,147",641,"22,904,093","14,681,523,400",519,"28,226,029","14,679,930,741",6,1,14,458,MBH,"10,891,067,808",MBH,"10,891,067,808","1,075,678,658","21,024,657,442","21,129,353,001","95,354,438",82,65,94,26,33,7,3,1,0
77,MFD,"14,114,489,454","1,113,822,222",7.89%,"23,490,987,768","124,349,418","19,593,985,426",219,"59,273,519",646,"22,578,029","14,585,406,648",473,"30,762,352","14,585,176,588",0,0,11,464,MFD,"11,511,997,900",MFD,"11,511,997,900","1,113,889,921","23,512,902,654","19,697,123,306","127,913,826",50,68,69,42,33,10,5,1,0
471,CELA,"3,271,614,547","257,279,519",7.86%,"1,470,227,713","14,368,093","2,067,269,026",21,"23,504,868",550,"6,949,913","3,822,452,073",491,"7,725,408","3,822,452,073",319,17,35,404,CELA,"2,298,283,508",CELA,"2,298,283,508","260,493,130","1,494,631,140","2,195,932,777","16,202,319",140,11,1,0,0,0,0,0,0
380,SURA,"6,329,044,444","495,797,889",7.83%,"4,802,017,574","21,001,990","5,748,125,985",127,"30,828,232",538,"12,834,088","6,904,739,264",457,"15,039,374","6,904,739,264",0,0,32,421,SURA,"4,754,029,040",SURA,"4,754,029,040","496,660,806","4,845,606,529","5,889,065,416","23,371,780",110,128,3,10,0,0,0,0,0
75,KD75,"9,967,788,497","773,501,844",7.76%,"19,250,194,462","106,638,004","16,402,831,104",144,"58,977,772",433,"23,515,903","10,182,385,850",399,"25,472,102","10,182,385,850",231,111,10,302,KD75,"6,907,601,935",KD75,"6,907,601,935","773,653,291","19,258,591,860","16,449,130,239","108,221,368",61,37,55,25,20,5,2,1,0
457,SKV,"3,383,466,480","262,337,111",7.75%,"1,504,018,012","13,245,584","1,858,130,012",45,"23,666,029",398,"8,796,554","3,501,028,373",362,"9,623,061","3,501,028,373",242,39,32,262,SKV,"1,964,966,175",SKV,"1,964,966,175","262,430,526","1,506,136,314","1,876,908,415","13,991,344",113,34,0,2,0,0,0,0,0
472,RSX,"3,308,002,534","255,442,262",7.72%,"1,617,867,953","15,921,544","2,003,429,067",18,"23,851,449",476,"7,502,264","3,571,077,499",410,"8,608,774","3,571,077,499",302,18,38,354,RSX,"2,273,066,294",RSX,"2,273,066,294","255,797,656","1,622,371,027","2,073,505,826","16,890,167",166,10,0,1,0,0,0,0,0
464,WS-,"3,339,509,098","257,432,637",7.71%,"1,495,330,481","7,719,737","1,491,940,012",23,"28,598,932",439,"8,225,128","3,610,831,270",409,"8,793,687","3,610,831,270",284,23,38,300,WS-,"2,126,006,348",WS-,"2,126,006,348","258,187,804","1,504,916,132","1,543,700,404","8,631,720",134,15,3,1,0,0,0,0,0
232,YBD,"16,145,362,432","1,222,056,726",7.57%,"20,959,698,311","143,114,414","25,221,537,942",309,"52,603,604",697,"28,343,709","19,755,565,098",664,"29,723,173","19,653,456,349",0,0,12,619,"YBD,Oh,O,YBDI,YBD1","17,352,401,064","YBD,Oh,O,YBDI,YBD1","12,299,073,656","1,242,652,798","21,444,831,209","27,590,449,452","160,368,144",108,144,120,47,20,14,4,0,1
116,ZOO~,"22,459,215,151","1,698,457,419",7.56%,"52,317,609,189","178,862,125","44,349,744,199",331,"70,083,512",581,"42,639,192","24,773,370,540",549,"45,097,616","24,773,370,540",403,285,16,458,"ZOO~,S0UL,ZOOR","21,288,864,592","ZOO~,S0UL,ZOOR","16,292,852,605","1,702,181,697","52,988,137,058","46,186,907,793","199,150,094",54,65,96,55,57,44,13,3,2
386,PTKG,"5,983,392,750","445,354,512",7.44%,"3,057,034,908","15,443,636","4,916,940,502",107,"35,416,479",400,"15,403,982","6,161,592,942",365,"16,833,398","6,161,592,942",0,0,32,348,"PTKG,ONKG","5,462,236,460","PTKG,ONKG","4,440,604,142","445,479,481","3,062,965,909","4,949,267,931","16,264,661",91,97,17,5,2,0,0,0,0
388,JPLS,"5,872,525,555","427,643,742",7.28%,"3,514,109,622","19,295,279","4,681,668,339",108,"31,403,340",447,"13,858,192","6,194,611,766",416,"14,866,864","6,194,611,766",265,98,33,377,JPLS,"4,179,393,776",JPLS,"4,179,393,776","427,799,069","3,520,602,491","4,742,820,814","20,513,950",104,113,3,4,2,0,2,0,0
156,B&R,"20,990,685,905","1,525,664,440",7.27%,"40,392,866,211","120,348,515","38,726,137,421",329,"66,160,509",574,"41,414,062","23,771,671,718",554,"42,893,762","23,771,671,718",462,292,9,483,"B&R,BR-B,BR-G","20,056,056,361","B&R,BR-B,BR-G","14,627,259,463","1,540,604,495","41,198,394,284","40,909,750,669","134,796,755",70,67,109,74,63,19,6,3,2
333,HOH,"12,276,670,722","889,041,989",7.24%,"17,272,405,851","66,689,666","17,687,423,207",347,"38,466,459",753,"21,946,562","16,525,761,433",715,"23,087,222","16,246,175,944",514,296,27,564,"HOH,HOK,HOZ","12,447,444,346","HOH,HOK,HOZ","5,681,307,758","927,850,657","18,380,385,951","20,583,740,873","81,742,710",88,277,60,28,8,1,0,0,0
48,NANR,"16,284,452,428","1,179,108,706",7.24%,"22,363,157,263","107,219,936","26,563,410,086",217,"69,248,404",446,"37,640,544","16,787,682,656",409,"41,011,469","16,787,682,656",0,0,10,345,"NANR,KoNG","13,672,661,423","NANR,KoNG","10,212,902,404","1,180,070,475","22,392,514,996","26,748,321,689","110,895,339",85,28,61,56,46,21,2,0,2
332,~RP~,"8,706,764,198","627,397,778",7.21%,"10,040,520,548","70,768,915","11,468,134,924",207,"35,347,699",588,"16,162,487","9,503,542,546",459,"20,605,619","9,503,542,546",310,185,23,454,"~RP~,RPA","6,804,802,449","~RP~,RPA","4,109,165,440","628,722,433","10,118,469,583","11,811,315,407","76,060,561",86,157,38,10,3,0,0,0,0
325,-BB-,"8,940,949,842","642,693,396",7.19%,"10,981,851,425","61,736,529","12,996,159,973",202,"36,298,116",492,"19,914,866","9,798,113,959",467,"20,958,387","9,798,113,959",330,177,17,375,"-BB-,~DS~","7,838,345,342","-BB-,~DS~","6,421,288,752","644,302,835","11,108,141,024","13,383,095,520","68,139,367",77,184,32,4,4,2,0,0,0
148,DTF,"4,433,881,103","317,135,918",7.15%,"6,837,940,581","33,924,573","6,721,776,744",47,"81,228,899",184,"24,097,180","4,433,881,103",148,"29,862,823","4,433,881,103",0,0,11,155,DTF,"3,575,681,095",DTF,"3,575,681,095","317,135,918","6,837,940,581","6,721,776,744","33,924,573",19,9,5,7,10,14,1,0,1
387,GRZ,"6,454,661,957","458,550,590",7.10%,"5,232,499,034","22,844,630","5,675,084,074",129,"32,048,820",444,"15,561,715","6,909,401,592",420,"16,429,660","6,909,401,592",290,114,27,355,GRZ,"4,882,518,442",GRZ,"4,882,518,442","458,906,080","5,254,933,411","5,796,801,742","24,079,223",110,119,12,7,1,0,0,0,0
