KD,#1 Ally,Top 300 Power,Top 300 Merits,M/P,Top 300 Kills,Top 300 Deads,Top 300 Heals,CH25,CH25 AP,10M,20M,30M,40M,50M,80M+,100M+,125M+,150M+,200M+,250M+,300M+,Total KD Power,#1 Ally Power,CH16,Lords,CH16 AP,Lords AP,60M+,CH16 Kvk,CH25 Kvk,Allies,Ally Lords,Unique Alliances in KD,Top 600 Power,Top 600 Merits,Top 600 Kills,Top 600 Heals,Top 600 Deads,10-20M,20-40M,40-60M
405,-TB-,1859007043,216341832,11.64%,6702139175,41029914,5746453371,28,66314169,7,4,2,0,0,10,6,2,0,0,0,0,"2,315,959,836","1,037,147,002",114,438,"19,815,183","5,287,580",16,0,0,40,164,-TB-,"1,859,007,043","216,341,832","6,702,139,175","5,746,453,371","41,029,914",18,6,3
406,,122198215,36925,0.03%,9757318,244726,56292145,2,52309420,0,0,0,0,0,0,0,0,0,0,0,0,"319,337,304",,49,363,"5,566,760","879,717",1,0,0,37,93,,"122,198,215","36,925","9,757,318","56,292,145","244,726",2,0,1
407,,416331795,449580,0.11%,63889330,3297203,390557688,7,43581688,0,0,0,0,0,0,0,0,0,0,0,0,"603,144,008",,54,383,"10,383,491","1,574,789",0,1,1,45,136,,"416,331,795","449,580","63,889,330","390,557,688","3,297,203",1,8,4
408,,438984692,2712,0.00%,229848153,4169786,512702004,13,29465803,0,0,0,0,0,0,0,0,0,0,0,0,"681,964,570",,66,390,"9,664,290","1,748,627",0,14,9,27,90,,"438,984,692","2,712","229,848,153","512,702,004","4,169,786",2,13,2
409,NxG,12685511744,1011005011,7.97%,29876095220,161928388,35322762107,151,83572854,37,4,1,0,0,85,54,8,3,1,0,0,"14,843,516,520","11,854,687,203",510,600,"29,023,498","24,739,194",118,1,0,24,377,"NxG,OxG","12,685,511,744","1,011,005,011","29,876,095,220","35,322,762,107","161,928,388",93,9,14
410,WE~R,13928095788,1766106479,12.68%,35722832457,253631133,40413424811,172,79498816,73,24,6,1,0,82,36,14,6,2,2,1,"17,144,890,149","12,619,160,629",594,600,"28,852,716","28,574,817",122,0,0,20,448,"WE~R,O-NE","13,928,095,788","1,766,106,479","35,722,832,457","40,413,424,811","253,631,133",164,19,22
411,,1025268687,52850,0.01%,434472695,3546038,666587523,26,30229459,0,0,0,0,0,1,0,0,0,0,0,0,"1,611,356,616",,133,576,"11,635,729","2,797,494",2,4,2,43,143,,"1,025,268,687","52,850","434,472,695","666,587,523","3,546,038",39,12,4
412,Haus,3745919929,368373704,9.83%,5495185863,58723721,8596052759,58,57621676,12,4,1,0,0,11,6,0,0,0,0,0,"4,451,165,076","3,715,029,832",201,591,"21,877,441","7,531,582",24,0,0,38,181,Haus,"3,745,919,929","368,373,704","5,495,185,863","8,596,052,759","58,723,721",31,23,18
413,,398979590,13302,0.00%,251235003,1970310,388482038,11,32245971,0,0,0,0,0,0,0,0,0,0,0,0,"719,554,698",,89,500,"7,436,805","1,439,109",0,4,4,55,176,,"398,979,590","13,302","251,235,003","388,482,038","1,970,310",5,10,2
414,P-B,1733739670,,0.00%,2097610834,15040849,2235163374,24,61948341,0,0,0,0,0,6,3,2,1,0,0,0,"2,256,078,632","1,577,051,046",137,535,"16,106,976","4,216,969",13,43,15,43,219,P-B,"1,733,739,670",,"2,097,610,834","2,235,163,374","15,040,849",28,5,4
415,p2L,2050084884,178515741,8.71%,5076220986,18889542,4723845008,33,61594864,10,1,0,0,0,13,3,0,0,0,0,0,"2,710,109,083","1,913,776,097",175,599,"15,025,816","4,524,389",16,0,0,35,179,p2L,"2,050,084,884","178,515,741","5,076,220,986","4,723,845,008","18,889,542",19,7,7
416,ECRU,2707549066,3473408,0.13%,1671562916,36723028,3853037118,50,45146751,0,0,0,0,0,2,0,0,0,0,0,0,"2,994,700,737","2,295,783,838",126,473,"23,332,304","6,331,291",11,54,34,46,179,ECRU,"2,707,549,066","3,473,408","1,671,562,916","3,853,037,118","36,723,028",14,31,18
417,CMBK,1403038287,19677395,1.40%,1114087070,15969372,1983527609,28,46002797,0,0,0,0,0,2,1,0,0,0,0,0,"2,045,241,417","1,351,085,391",154,552,"12,886,947","3,705,147",5,30,18,53,177,CMBK,"1,403,038,287","19,677,395","1,114,087,070","1,983,527,609","15,969,372",26,10,14
419,LS~,9807739321,523060069,5.33%,17302306311,107657232,21488272744,145,65982445,17,2,0,0,0,43,19,4,1,0,0,0,"11,195,661,484","9,098,607,765",347,599,"32,086,055","18,690,587",83,0,0,24,291,LS~,"9,807,739,321","523,060,069","17,302,306,311","21,488,272,744","107,657,232",71,27,33
420,,237052558,112167,0.05%,247438681,3585513,337168120,6,34037914,0,0,0,0,0,0,0,0,0,0,0,0,"836,426,807",,122,527,"6,396,298","1,587,148",1,0,0,58,167,,"237,052,558","112,167","247,438,681","337,168,120","3,585,513",19,2,1
421,,556372371,17930229,3.22%,673265191,2056392,713436362,9,49370380,1,0,0,0,0,1,1,0,0,0,0,0,"941,952,171",,98,435,"9,186,671","2,165,407",2,3,0,27,96,,"556,372,371","17,930,229","673,265,191","713,436,362","2,056,392",13,4,3
422,TARO,8041251389,3480757,0.04%,8689043020,86444293,14512492750,134,54636844,0,0,0,0,0,24,8,1,0,0,0,0,"8,593,690,984","6,935,143,532",255,600,"33,517,301","14,322,818",43,173,114,23,243,TARO,"8,041,251,389","3,480,757","8,689,043,020","14,512,492,750","86,444,293",37,54,53
423,,536493916,337327,0.06%,178690803,3856407,448436954,12,34517074,0,0,0,0,0,0,0,0,0,0,0,0,"789,487,880",,68,489,"10,775,636","1,614,495",0,7,2,47,165,,"536,493,916","337,327","178,690,803","448,436,954","3,856,407",11,7,5
424,~FV~,14635775929,13224997,0.09%,50416431763,218262633,44855822025,152,96022551,0,0,0,0,0,109,76,26,11,5,2,0,"17,286,592,195","12,754,833,805",528,600,"32,672,588","28,810,987",124,285,131,32,453,"~FV~,~FF~,~FA-","14,635,775,929","13,224,997","50,416,431,763","44,855,822,025","218,262,633",120,13,5
425,XGP,2504863072,97834,0.00%,3530835999,24842908,5344307969,38,60848131,0,0,0,0,0,10,6,1,1,0,0,0,"2,902,377,163","2,518,674,861",114,497,"25,024,435","5,839,793",15,46,30,38,190,XGP,"2,504,863,072","97,834","3,530,835,999","5,344,307,969","24,842,908",18,15,12
426,TPTS,6276774059,252902541,4.03%,6491166820,70929311,12198925100,114,51086890,4,1,0,0,0,10,4,0,0,0,0,0,"7,005,295,409","6,050,409,296",272,601,"25,582,717","11,656,066",28,0,0,38,281,TPTS,"6,276,774,059","252,902,541","6,491,166,820","12,198,925,100","70,929,311",30,47,49
427,FTS,13304418860,14165127,0.11%,20401307103,179366633,29714685383,181,70559582,0,0,0,0,0,70,31,8,1,0,0,0,"14,278,499,570","11,082,637,345",348,600,"40,907,120","23,797,499",107,244,155,21,315,"FTS,FTS0","13,304,418,860","14,165,127","20,401,307,103","29,714,685,383","179,366,633",52,48,37
428,NM!,8458055308,1361304543,16.09%,36293868711,183391530,26517392431,77,108291470,54,26,13,6,3,55,49,29,12,4,0,0,"9,864,209,575","8,630,917,329",267,599,"36,765,242","16,467,796",63,0,0,33,264,NM!,"8,458,055,308","1,361,304,543","36,293,868,711","26,517,392,431","183,391,530",64,6,8
429,,1055746226,18429371,1.75%,268665211,7321894,910157482,19,45294243,0,0,0,0,0,0,0,0,0,0,0,0,"1,526,903,982",,123,473,"11,951,830","3,228,127",4,0,0,19,105,,"1,055,746,226","18,429,371","268,665,211","910,157,482","7,321,894",9,15,7
430,PR-D,10185341157,927642307,9.11%,20798773459,161246883,28664445310,163,61048086,26,5,1,0,0,35,20,2,0,0,0,0,"11,622,800,090","8,474,383,063",419,599,"27,596,163","19,403,673",70,292,150,40,393,PR-D,"10,185,341,157","927,642,307","20,798,773,459","28,664,445,310","161,246,883",67,34,61
431,AoD`,1316587789,12116916,0.92%,1653313404,14322350,3136763698,26,49175459,0,0,0,0,0,2,0,0,0,0,0,0,"1,441,743,626","1,229,888,615",54,426,"25,686,611","3,384,375",8,0,0,39,89,AoD`,"1,316,587,789","12,116,916","1,653,313,404","3,136,763,698","14,322,350",1,12,7
433,-FK-,1448149899,104489600,7.22%,2189729313,15928046,2926314186,23,58452150,3,2,1,0,0,4,4,0,0,0,0,0,"1,794,454,206","1,392,044,759",92,495,"18,816,033","3,625,160",7,0,0,39,150,-FK-,"1,448,149,899","104,489,600","2,189,729,313","2,926,314,186","15,928,046",11,8,10
435,-VW-,3046046086,198304069,6.51%,6876319312,34091575,6400670341,45,64950961,8,2,1,0,0,16,8,1,0,0,0,0,"3,663,676,002","3,103,672,143",150,562,"23,989,743","6,518,996",23,0,0,40,200,-VW-,"3,046,046,086","198,304,069","6,876,319,312","6,400,670,341","34,091,575",29,8,13
436,SACR,3883969027,18684535,0.48%,6555671826,60284275,9588917390,63,57200378,0,0,0,0,0,12,7,1,0,0,0,0,"4,475,524,851","2,903,814,160",252,599,"17,463,838","7,471,661",29,78,47,50,297,SACR,"3,883,969,027","18,684,535","6,555,671,826","9,588,917,390","60,284,275",20,25,12
437,,474713713,,0.00%,83096780,2275938,305370420,12,30698339,0,0,0,0,0,0,0,0,0,0,0,0,"715,974,579",,81,441,"8,041,941","1,623,525",0,6,4,40,184,,"474,713,713",,"83,096,780","305,370,420","2,275,938",9,9,2
438,BREW,6430524153,11002050,0.17%,8053992200,83995150,12112252138,104,60197368,0,0,0,0,0,24,14,4,0,0,0,0,"6,812,462,885","4,609,446,992",203,566,"33,261,305","12,036,154",43,73,60,42,201,BREW,"6,430,524,153","11,002,050","8,053,992,200","12,112,252,138","83,995,150",11,26,36
439,blz,7873000424,431513202,5.48%,17402166747,104121595,20900817634,115,67671601,12,4,1,1,1,32,19,6,2,0,0,0,"9,636,756,592","8,208,618,267",350,596,"27,376,773","16,169,055",56,243,102,36,330,blz,"7,873,000,424","431,513,202","17,402,166,747","20,900,817,634","104,121,595",80,16,44
440,VKNG,6057062829,339303160,5.60%,12647216446,104898792,15745514443,93,63800434,12,2,0,0,0,22,14,4,1,0,0,0,"6,843,979,277","5,432,693,095",205,533,"33,161,138","12,840,486",45,0,0,32,216,VKNG,"6,057,062,829","339,303,160","12,647,216,446","15,745,514,443","104,898,792",38,18,29
441,,386289476,1480994,0.38%,75146825,2547510,406291312,10,35968950,0,0,0,0,0,0,0,0,0,0,0,0,"560,857,752",,49,360,"10,324,212","1,557,938",0,0,0,48,174,,"386,289,476","1,480,994","75,146,825","406,291,312","2,547,510",3,6,4
442,,365752788,832333,0.23%,43912986,2553282,210318563,5,28162230,0,0,0,0,0,0,0,0,0,0,0,0,"750,008,819",,91,448,"7,638,104","1,674,127",0,4,0,47,99,,"365,752,788","832,333","43,912,986","210,318,563","2,553,282",16,9,0
443,,183347083,,0.00%,11618348,74403,97221446,3,38351385,0,0,0,0,0,0,0,0,0,0,0,0,"464,245,400",,54,394,"7,498,701","1,178,288",0,4,2,51,196,,"183,347,083",,"11,618,348","97,221,446","74,403",6,4,1
444,SCL,20137187762,3337869742,16.58%,88331722663,318513199,67144055349,197,103045220,139,62,27,10,6,154,111,48,23,5,0,0,"23,928,546,671","19,850,857,925",602,603,"39,748,362","39,682,499",170,0,0,10,555,"SCL,SCLN","20,137,187,762","3,337,869,742","88,331,722,663","67,144,055,349","318,513,199",177,6,5
445,~DoC,1593753703,26184,0.00%,2587371099,24056685,3106190762,26,57101784,0,0,0,0,0,8,4,0,0,0,0,0,"1,990,002,651","1,459,105,176",105,428,"18,453,912","4,649,539",10,27,15,38,150,~DoC,"1,593,753,703","26,184","2,587,371,099","3,106,190,762","24,056,685",10,12,5
446,ExV,4167528962,273106333,6.55%,7512274265,53172448,9052601331,73,54092907,11,5,0,0,0,13,10,3,1,0,0,0,"4,459,725,525","3,610,532,446",148,534,"29,749,060","8,351,546",20,72,54,30,151,ExV,"4,167,528,962","273,106,333","7,512,274,265","9,052,601,331","53,172,448",13,33,22
447,ZEN,12982192471,303493483,2.34%,42386667006,198371692,36673580716,163,79869666,3,0,0,0,0,76,39,14,4,1,0,0,"15,530,035,999","12,444,490,435",598,602,"25,960,155","25,797,402",112,295,149,30,535,"ZEN,5PUD","12,982,192,471","303,493,483","42,386,667,006","36,673,580,716","198,371,692",90,3,39
448,VIHE,1573790566,826669,0.05%,812034268,11533549,2165106098,27,44584537,0,0,0,0,0,1,0,0,0,0,0,0,"1,784,390,587","1,503,517,523",83,500,"20,647,596","3,568,781",5,28,18,42,188,VIHE,"1,573,790,566","826,669","812,034,268","2,165,106,098","11,533,549",11,21,10
449,,964402443,18131722,1.88%,534967881,6026067,1068109739,18,48784968,1,0,0,0,0,4,2,0,0,0,0,0,"1,206,268,513",,72,394,"16,100,240","3,061,595",5,0,0,57,176,,"964,402,443","18,131,722","534,967,881","1,068,109,739","6,026,067",10,8,4
450,,606227363,2185800,0.36%,312887322,2200182,729087051,13,35285740,0,0,0,0,0,0,0,0,0,0,0,0,"960,772,928",,107,513,"8,385,987","1,872,852",1,0,0,34,82,,"606,227,363","2,185,800","312,887,322","729,087,051","2,200,182",14,7,4
451,51DR,1456641444,104126820,7.15%,2040859680,25816648,2782868478,20,64515211,4,1,0,0,0,5,3,1,0,0,0,0,"1,845,049,647","1,293,640,779",109,486,"16,246,847","3,796,398",11,0,0,35,92,51DR,"1,456,641,444","104,126,820","2,040,859,680","2,782,868,478","25,816,648",11,9,5
452,-VKG,14161101473,2103535074,14.85%,52321773831,174332969,44226382491,143,98211946,94,40,8,3,0,103,74,30,10,1,0,0,"16,831,694,305","13,673,341,375",554,601,"30,324,108","28,006,147",123,0,0,22,481,"-VKG,VKF","14,161,101,473","2,103,535,074","52,321,773,831","44,226,382,491","174,332,969",116,9,9
453,,496498064,7209303,1.45%,296427907,5057169,629712496,11,36567536,0,0,0,0,0,1,0,0,0,0,0,0,"870,402,994",,90,466,"9,032,496","1,867,818",2,14,5,18,95,,"496,498,064","7,209,303","296,427,907","629,712,496","5,057,169",10,9,1
454,VCZ,1859051636,17947047,0.97%,1174224023,16128110,2365517180,33,47546510,0,0,0,0,0,6,1,0,0,0,0,0,"2,390,829,963","1,724,531,266",146,473,"15,944,796","5,054,609",7,0,0,46,195,VCZ,"1,859,051,636","17,947,047","1,174,224,023","2,365,517,180","16,128,110",28,20,10
455,:BD~,1166104593,28181363,2.42%,721184615,15529450,1538613849,21,45178755,0,0,0,0,0,1,0,0,0,0,0,0,"1,525,836,098","1,086,947,849",119,465,"12,352,232","3,281,368",3,0,0,29,145,:BD~,"1,166,104,593","28,181,363","721,184,615","1,538,613,849","15,529,450",10,16,8
456,,251186285,,0.00%,79695695,1490283,176412344,7,30682136,0,0,0,0,0,0,0,0,0,0,0,0,"621,341,159",,96,436,"5,855,764","1,425,094",0,1,1,53,184,,"251,186,285",,"79,695,695","176,412,344","1,490,283",7,5,2
457,,388786976,875716,0.23%,94090437,2759627,233820657,12,27843402,0,0,0,0,0,0,0,0,0,0,0,0,"741,852,262",,97,447,"7,061,861","1,659,625",0,13,1,49,164,,"388,786,976","875,716","94,090,437","233,820,657","2,759,627",12,7,1
458,KO-V,7225088437,572589756,7.93%,19206981242,114820692,20182721630,89,79543094,22,4,2,0,0,44,26,4,2,0,0,0,"8,349,727,814","6,699,662,334",269,599,"30,683,223","13,939,445",65,0,0,39,243,KO-V,"7,225,088,437","572,589,756","19,206,981,242","20,182,721,630","114,820,692",44,13,12
459,Ns0S,3557619208,185541779,5.22%,3892413466,32097943,5960415890,58,54629154,6,2,1,1,0,12,7,0,0,0,0,0,"4,082,924,517","2,679,294,017",177,547,"22,735,704","7,464,213",15,0,0,46,195,Ns0S,"3,557,619,208","185,541,779","3,892,413,466","5,960,415,890","32,097,943",32,31,19
460,LG~F,11320934726,575761804,5.09%,11264661856,125393968,22774087666,215,49309434,6,0,0,0,0,16,8,2,0,0,0,0,"12,359,193,767","8,564,763,059",417,601,"29,515,684","20,564,382",43,0,0,27,349,"LG~F,LG~E","11,320,934,726","575,761,804","11,264,661,856","22,774,087,666","125,393,968",49,82,107
461,CK61,1191008838,21136699,1.77%,2088762590,7988255,2141272458,17,65214097,0,0,0,0,0,5,4,3,0,0,0,0,"1,649,081,956","1,259,601,739",142,490,"11,140,907","3,365,473",6,0,0,40,189,CK61,"1,191,008,838","21,136,699","2,088,762,590","2,141,272,458","7,988,255",4,11,3
462,DaD,3548120493,116988077,3.30%,6723969775,40182573,8509390485,50,69060298,3,0,0,0,0,22,13,2,0,0,0,0,"4,187,496,241","2,221,604,787",193,600,"21,302,272","6,979,160",27,0,0,41,142,DaD,"3,548,120,493","116,988,077","6,723,969,775","8,509,390,485","40,182,573",20,16,5
463,PIRU,3678533600,8637605,0.23%,2786906154,47198549,5840996289,75,43631770,0,0,0,0,0,3,2,0,0,0,0,0,"4,528,036,597","2,932,670,108",250,600,"17,843,286","7,546,728",10,115,64,48,269,"PIRU,P1RU","3,678,533,600","8,637,605","2,786,906,154","5,840,996,289","47,198,549",44,40,27
464,,761585043,,0.00%,749819080,8374047,1045914730,17,35080177,0,0,0,0,0,1,0,0,0,0,0,0,"1,583,111,667",,429,600,"3,558,563","2,638,519",1,1,1,43,108,,"761,585,043",,"749,819,080","1,045,914,730","8,374,047",9,15,3
465,,495907177,260,0.00%,465318665,2185963,645818464,10,46217017,0,0,0,0,0,1,1,0,0,0,0,0,"950,075,204",,123,517,"7,172,306","1,837,670",3,9,7,64,209,,"495,907,177",260,"465,318,665","645,818,464","2,185,963",5,6,1
466,ScL,3363447084,267183121,7.94%,6790973497,34150318,6442265992,61,51661409,6,1,1,1,1,8,4,2,2,0,0,0,"4,008,372,684","3,423,450,243",219,575,"17,964,282","6,971,083",14,0,0,55,251,ScL,"3,363,447,084","267,183,121","6,790,973,497","6,442,265,992","34,150,318",22,29,21
467,ERS,5201167910,6744362,0.13%,15244898116,50030223,15179086305,63,82024168,0,0,0,0,0,39,27,1,1,0,0,0,"5,974,510,810","5,267,163,152",220,591,"26,846,869","10,109,155",47,104,59,27,184,ERS,"5,201,167,910","6,744,362","15,244,898,116","15,179,086,305","50,030,223",20,7,6
468,RN:L,4893833539,537626239,10.99%,15567386367,75372159,15582463642,65,76534315,26,7,2,1,1,39,19,4,4,0,0,0,"6,178,744,608","4,065,213,306",275,600,"22,239,066","10,297,908",45,0,0,56,307,RN:L,"4,893,833,539","537,626,239","15,567,386,367","15,582,463,642","75,372,159",46,3,4
469,,372193947,2278509,0.61%,314767749,2149872,367622868,10,28125234,0,0,0,0,0,0,0,0,0,0,0,0,"1,032,731,534",,160,560,"6,015,945","1,844,163",0,8,1,53,237,,"372,193,947","2,278,509","314,767,749","367,622,868","2,149,872",18,6,2
470,WND!,10983450800,366613741,3.34%,16833935443,131983499,23529322954,189,57081963,7,1,0,0,0,41,11,2,0,0,0,0,"12,667,475,312","9,662,847,624",467,600,"27,020,776","21,112,459",63,282,159,20,330,WND!,"10,983,450,800","366,613,741","16,833,935,443","23,529,322,954","131,983,499",66,49,78
472,,1099808651,10386365,0.94%,1149578891,7921824,1714869323,22,47725535,0,0,0,0,0,4,0,0,0,0,0,0,"1,743,963,353",,165,600,"10,155,910","2,906,606",5,0,0,50,140,,"1,099,808,651","10,386,365","1,149,578,891","1,714,869,323","7,921,824",14,7,8
473,VH7,9665488142,1044145990,10.80%,31757500259,136469990,30299461724,91,105556928,44,15,3,2,1,75,58,17,9,1,0,0,"10,582,184,401","9,137,794,709",261,600,"40,276,897","17,636,974",83,0,0,25,205,VH7,"9,665,488,142","1,044,145,990","31,757,500,259","30,299,461,724","136,469,990",30,3,2
474,APX,3048817534,1170512,0.04%,2166403681,22100156,4258955149,55,49371647,0,0,0,0,0,2,1,0,0,0,0,0,"3,477,063,589","2,957,999,691",170,600,"19,921,818","5,795,106",15,59,40,61,263,APX,"3,048,817,534","1,170,512","2,166,403,681","4,258,955,149","22,100,156",14,25,22
475,,261811107,472655,0.18%,129856356,1792780,155986137,6,36435837,0,0,0,0,0,0,0,0,0,0,0,0,"1,274,296,106",,201,600,"5,923,793","2,123,827",0,2,1,60,220,,"261,811,107","472,655","129,856,356","155,986,137","1,792,780",32,3,3
476,GS:S,10525581087,987762153,9.38%,24664729115,142203754,32065920202,156,66321751,33,3,2,0,0,55,22,2,1,0,0,0,"13,524,537,158","9,731,108,032",597,599,"22,646,675","22,578,526",91,0,0,13,422,"GS:S,GSSa","10,525,581,087","987,762,153","24,664,729,115","32,065,920,202","142,203,754",125,19,37
477,CRSH,5629751078,169922354,3.02%,5965597197,66709298,10611215250,90,59168395,4,0,0,0,0,19,4,2,0,0,0,0,"6,493,006,553","4,430,755,175",303,600,"21,155,923","10,821,678",42,0,0,43,257,CRSH,"5,629,751,078","169,922,354","5,965,597,197","10,611,215,250","66,709,298",20,35,21
478,,798856144,11039689,1.38%,208334390,3995462,774826237,22,31800264,0,0,0,0,0,0,0,0,0,0,0,0,"1,549,552,496",,211,600,"6,957,817","2,582,587",0,0,0,54,189,,"798,856,144","11,039,689","208,334,390","774,826,237","3,995,462",15,18,3
479,,730680998,16,0.00%,350766720,4809015,646607355,21,29465082,0,0,0,0,0,0,0,0,0,0,0,0,"1,685,379,980",,214,601,"7,530,216","2,804,293",0,2,2,43,140,,"730,680,998",16,"350,766,720","646,607,355","4,809,015",40,11,4
480,,158862266,1030753,0.65%,21885118,1147270,85677962,5,21783823,0,0,0,0,0,0,0,0,0,0,0,0,"641,441,325",,151,600,"3,693,676","1,069,069",0,1,0,72,238,,"158,862,266","1,030,753","21,885,118","85,677,962","1,147,270",6,3,0
481,TDVR,3251610708,266570222,8.20%,6732111058,56791179,9883611698,56,55186038,8,2,0,0,0,10,4,0,0,0,0,0,"4,246,353,187","3,354,131,800",272,600,"15,259,967","7,077,255",18,0,0,52,264,TDVR,"3,251,610,708","266,570,222","6,732,111,058","9,883,611,698","56,791,179",32,10,25
482,DEz,1969259820,20290775,1.03%,2781533555,16291747,3614062949,29,61418444,0,0,0,0,0,5,4,2,0,0,0,0,"2,654,714,020","1,888,419,503",218,600,"11,812,356","4,424,523",12,39,23,74,278,DEz,"1,969,259,820","20,290,775","2,781,533,555","3,614,062,949","16,291,747",17,13,9
483,-WW-,18876363998,3048340804,16.15%,69763868578,284924454,59152467452,249,76789909,130,41,16,7,3,108,67,20,8,4,2,0,"22,711,769,704","17,885,812,167",604,604,"37,602,268","37,602,268",169,0,0,8,515,"-WW-,-WR-,-WG-","18,876,363,998","3,048,340,804","69,763,868,578","59,152,467,452","284,924,454",205,12,36
484,,107490384,,0.00%,20891215,593471,59675413,2,36589126,0,0,0,0,0,0,0,0,0,0,0,0,"680,596,637",,174,600,"3,435,135","1,134,328",0,2,1,72,241,,"107,490,384",,"20,891,215","59,675,413","593,471",8,2,0
486,,938543571,2742895,0.29%,669138481,8436114,1400509613,22,35390171,0,0,0,0,0,0,0,0,0,0,0,0,"1,829,845,492",,256,599,"6,795,258","3,054,834",0,0,0,71,240,,"938,543,571","2,742,895","669,138,481","1,400,509,613","8,436,114",30,11,9
487,,853397804,39866082,4.67%,547860836,10262347,981626567,15,46738973,1,0,0,0,0,1,1,0,0,0,0,0,"1,657,186,453",,242,600,"6,414,405","2,761,977",3,0,0,40,157,,"853,397,804","39,866,082","547,860,836","981,626,567","10,262,347",9,9,6
488,MW!,2409325469,348240159,14.45%,6431754332,44441015,6943358088,40,62507978,13,6,4,1,1,13,10,2,0,0,0,0,"3,588,823,943","2,729,616,201",262,600,"13,361,531","5,981,373",21,0,0,29,277,MW!,"2,409,325,469","348,240,159","6,431,754,332","6,943,358,088","44,441,015",42,5,4
489,,810840237,7716279,0.95%,865940053,3800608,965113625,15,45525624,0,0,0,0,0,1,0,0,0,0,0,0,"1,453,423,489",,226,600,"5,879,065","2,422,372",3,0,0,66,247,,"810,840,237","7,716,279","865,940,053","965,113,625","3,800,608",9,9,5
490,,340992234,3365033,0.99%,159321429,3097523,263033111,6,31048340,0,0,0,0,0,0,0,0,0,0,0,0,"839,602,348",,183,600,"4,074,276","1,399,337",1,2,0,62,254,,"340,992,234","3,365,033","159,321,429","263,033,111","3,097,523",9,8,0
491,-BD-,6327372184,917404326,14.50%,17730745449,77020395,17291177893,91,69350927,37,15,7,4,2,36,22,8,3,0,0,0,"7,779,378,408","6,443,954,356",344,600,"22,360,496","12,965,631",44,0,0,23,265,-BD-,"6,327,372,184","917,404,326","17,730,745,449","17,291,177,893","77,020,395",52,17,25
492,,136653470,28722,0.02%,31412003,318292,76139197,3,32902528,0,0,0,0,0,0,0,0,0,0,0,0,"579,289,397",,139,589,"3,447,800","983,513",0,1,0,63,246,,"136,653,470","28,722","31,412,003","76,139,197","318,292",5,4,0
493,-SU-,3242942397,2940721,0.09%,6073993385,33901048,7197805481,64,48740246,0,0,0,0,0,12,3,1,0,0,0,0,"4,113,868,044","3,107,570,300",244,600,"16,457,075","6,856,447",16,78,46,35,185,-SU-,"3,242,942,397","2,940,721","6,073,993,385","7,197,805,481","33,901,048",39,29,16
494,,906373929,6139201,0.68%,406907731,7605030,1124694971,24,31176331,0,0,0,0,0,0,0,0,0,0,0,0,"1,481,441,901",,204,600,"6,800,918","2,469,070",0,9,5,44,140,,"906,373,929","6,139,201","406,907,731","1,124,694,971","7,605,030",14,26,1
495,,779704474,632603,0.08%,42595357,1356111,321786599,18,40406295,0,0,0,0,0,0,0,0,0,0,0,0,"1,314,721,605",,192,600,"6,254,153","2,191,203",1,0,0,47,170,,"779,704,474","632,603","42,595,357","321,786,599","1,356,111",4,11,7
496,,924971752,1033850,0.11%,772441059,8289743,1199718572,18,39930775,0,0,0,0,0,0,0,0,0,0,0,0,"1,452,367,550",,194,600,"6,940,429","2,420,613",1,23,14,68,238,,"924,971,752","1,033,850","772,441,059","1,199,718,572","8,289,743",14,15,7
497,,123216925,,0.00%,35511643,1169486,51092637,4,25964572,0,0,0,0,0,0,0,0,0,0,0,0,"709,125,058",,193,600,"2,948,703","1,181,875",0,0,0,66,269,,"123,216,925",,"35,511,643","51,092,637","1,169,486",7,2,0
498,,509094845,,0.00%,185936260,3985510,386340157,17,24278698,0,0,0,0,0,0,0,0,0,0,0,0,"1,162,575,297",,193,600,"5,391,108","1,937,625",0,2,0,42,88,,"509,094,845",,"185,936,260","386,340,157","3,985,510",21,12,0
499,,583912717,26761795,4.58%,1156385298,8075919,846630396,9,51733051,1,1,0,0,0,2,2,1,0,0,0,0,"918,118,910",,125,600,"6,383,941","1,530,198",3,0,0,68,229,,"583,912,717","26,761,795","1,156,385,298","846,630,396","8,075,919",5,9,0
500,-HD-,17666275926,2744979876,15.54%,62052294323,211277226,54011922598,196,90008022,118,53,16,2,1,118,68,32,12,0,0,0,"21,082,552,980","17,094,513,000",600,600,"35,137,588","35,137,588",161,0,0,14,559,"-HD-,-HF","17,666,275,926","2,744,979,876","62,052,294,323","54,011,922,598","211,277,226",147,7,20
501,FGHT,2811794378,1081020,0.04%,4632621449,34858428,6354634393,36,72902150,0,0,0,0,0,14,9,4,2,1,1,0,"3,454,477,611","2,763,281,719",251,600,"13,222,642","5,757,463",20,44,33,63,260,FGHT,"2,811,794,378","1,081,020","4,632,621,449","6,354,634,393","34,858,428",12,16,4
502,ZTO,7994034310,591954967,7.40%,13325196924,103119385,22161476840,129,59931252,16,0,0,0,0,33,18,2,0,0,0,0,"9,367,101,499","3,967,543,026",419,600,"22,070,037","15,611,836",56,0,0,32,243,"ZTO,CAVE","7,994,034,310","591,954,967","13,325,196,924","22,161,476,840","103,119,385",55,34,38
503,SPCT,5935508448,176308207,2.97%,8367761605,81487085,11343430018,101,54513564,4,0,0,0,0,15,9,3,2,0,0,0,"6,758,864,320","5,630,817,034",341,599,"19,449,110","11,283,580",35,0,0,52,272,SPCT,"5,935,508,448","176,308,207","8,367,761,605","11,343,430,018","81,487,085",31,46,27
